step,actic loss,critic loss,average distance,time
10,-432.4341,106.1406,10.4260,0min17sec
20,-328.9013,75.5820,10.4244,0min17sec
30,-192.2760,53.7189,10.4123,0min17sec
40,-146.1567,41.1279,10.3627,0min17sec
50,-116.2546,33.3652,10.0778,0min17sec
60,-97.1877,28.1176,9.7127,0min17sec
70,-83.1149,24.3451,9.4271,0min17sec
80,-72.8591,21.4877,9.2192,0min20sec
90,-64.8510,19.2661,9.0413,0min18sec
100,-58.5056,17.4854,8.8970,0min19sec
110,-53.2538,16.0196,8.7724,0min22sec
120,-48.8085,14.7962,8.6743,0min18sec
130,-45.1004,13.7569,8.5863,0min20sec
140,-41.8972,12.8681,8.5127,0min19sec
150,-39.1343,12.0957,8.4478,0min19sec
160,-36.6710,11.4245,8.3929,0min19sec
170,-34.5404,10.8267,8.3423,0min21sec
180,-32.6446,10.2936,8.2995,0min19sec
190,-30.9167,9.8159,8.2601,0min19sec
200,-29.3913,9.3876,8.2254,0min19sec
210,-28.0064,9.0007,8.1928,0min20sec
220,-26.7338,8.6491,8.1630,0min20sec
230,-25.5942,8.3275,8.1396,0min21sec
240,-24.5459,8.0306,8.1179,0min20sec
250,-23.5729,7.7595,8.0969,0min18sec
260,-22.6668,7.5087,8.0768,0min18sec
270,-21.8479,7.2782,8.0571,0min19sec
280,-21.0637,7.0615,8.0383,0min19sec
290,-20.3386,6.8611,8.0213,0min23sec
300,-19.6394,6.6755,8.0054,0min22sec
310,-19.0254,6.5002,7.9902,0min23sec
320,-18.4316,6.3347,7.9751,0min23sec
330,-17.8781,6.1819,7.9601,0min21sec
340,-17.3594,6.0377,7.9472,0min21sec
350,-16.8670,5.9000,7.9354,0min22sec
360,-16.3903,5.7715,7.9234,0min22sec
370,-15.9503,5.6479,7.9110,0min21sec
380,-15.5397,5.5327,7.8996,0min22sec
390,-15.1503,5.4217,7.8885,0min27sec
400,-14.7834,5.3184,7.8774,0min22sec
410,-14.4264,5.2200,7.8674,0min22sec
420,-14.0897,5.1263,7.8582,0min22sec
430,-13.7673,5.0355,7.8496,0min21sec
440,-13.4526,4.9494,7.8405,0min21sec
450,-13.1547,4.8668,7.8326,0min23sec
460,-12.8686,4.7872,7.8258,0min22sec
470,-12.5978,4.7109,7.8191,0min25sec
480,-12.3347,4.6377,7.8133,0min23sec
490,-12.0862,4.5673,7.8078,0min25sec
500,-11.8478,4.5004,7.8010,0min27sec
510,-11.6110,4.4367,7.7956,0min24sec
520,-11.3905,4.3754,7.7897,0min26sec
530,-11.1742,4.3178,7.7832,0min27sec
540,-10.9756,4.2624,7.7778,0min28sec
550,-10.7828,4.2084,7.7736,0min27sec
560,-10.6027,4.1569,7.7692,0min29sec
570,-10.4150,4.1064,7.7642,0min27sec
580,-10.2393,4.0569,7.7596,0min28sec
590,-10.0627,4.0088,7.7552,0min27sec
600,-9.8938,3.9625,7.7504,0min27sec
610,-9.7273,3.9183,7.7459,0min29sec
620,-9.5740,3.8750,7.7413,0min28sec
630,-9.4277,3.8334,7.7375,0min30sec
640,-9.2798,3.7921,7.7332,0min27sec
650,-9.1349,3.7527,7.7290,0min27sec
660,-8.9928,3.7143,7.7251,0min27sec
670,-8.8613,3.6771,7.7227,0min26sec
680,-8.7301,3.6409,7.7199,0min27sec
690,-8.5985,3.6057,7.7165,0min27sec
700,-8.4745,3.5718,7.7127,0min27sec
710,-8.3570,3.5392,7.7092,0min26sec
720,-8.2386,3.5069,7.7059,0min27sec
730,-8.1296,3.4760,7.7023,0min26sec
740,-8.0203,3.4462,7.6990,0min26sec
750,-7.9141,3.4169,7.6962,0min26sec
760,-7.8118,3.3883,7.6929,0min26sec
770,-7.7101,3.3598,7.6900,0min28sec
780,-7.6134,3.3329,7.6869,0min28sec
790,-7.5179,3.3067,7.6841,0min28sec
800,-7.4225,3.2807,7.6825,0min28sec
810,-7.3318,3.2548,7.6803,0min28sec
820,-7.2431,3.2303,7.6779,0min32sec
830,-7.1588,3.2067,7.6756,0min30sec
840,-7.0764,3.1838,7.6733,0min31sec
850,-6.9894,3.1619,7.6708,0min29sec
860,-6.9088,3.1396,7.6679,0min28sec
870,-6.8280,3.1179,7.6657,0min28sec
880,-6.7537,3.0964,7.6634,0min34sec
890,-6.6770,3.0754,7.6610,0min31sec
900,-6.6015,3.0551,7.6595,0min28sec
910,-6.5306,3.0352,7.6570,0min28sec
920,-6.4588,3.0154,7.6551,0min27sec
930,-6.3908,2.9965,7.6527,0min26sec
940,-6.3263,2.9783,7.6508,0min26sec
950,-6.2636,2.9601,7.6495,0min27sec
960,-6.1992,2.9421,7.6481,0min27sec
970,-6.1359,2.9238,7.6462,0min26sec
980,-6.0716,2.9065,7.6442,0min27sec
990,-6.0119,2.8890,7.6424,0min27sec
1000,-5.9486,2.8724,7.6406,0min27sec
1010,-5.8910,2.8562,7.6389,0min27sec
1020,-5.8324,2.8399,7.6373,0min27sec
1030,-5.7767,2.8242,7.6355,0min26sec
1040,-5.7234,2.8089,7.6338,0min26sec
1050,-5.6665,2.7939,7.6325,0min28sec
1060,-5.6142,2.7785,7.6315,0min27sec
1070,-5.5614,2.7642,7.6303,0min26sec
1080,-5.5105,2.7491,7.6290,0min26sec
1090,-5.4608,2.7341,7.6277,0min26sec
1100,-5.4094,2.7192,7.6262,0min26sec
